ID,OrgId,Title,URL,Categories,Element tag,Author,Organizationen,Publication Date
0500001,,Flight Patterns,http://www.aaronkoblin.com/work/flightpatterns/,技术,"3D, interactive",,Aaron Koblin,
0500002,,"Find out about crime on your block, in your community, along your commute, and more",http://crime.chicagotribune.com/,安全,interactive,,Chicagotribune,
0500006,,government shutdown 2013,http://labs.enigma.io/shutdown2013/,政治,"tree, interactive, real-time",,Enigma,
0500007,,"America's Election HQ",http://www.foxnews.com/politics/elections/2014/2014-midterm-elections/,政治,"photo, map, interactive, multi-media",,Fox News,
0500008,,Small Arms and Ammunition-Imports and Exports,http://armsglobe.chromeexperiments.com/,安全,"timeline, bar, interactive, 3D",,Google,
0500009,,Codebases: Millions Lines of Code,http://www.informationisbeautiful.net/visualizations/million-lines-of-code/,技术,,,Information is beautiful,
0500010,,"Audubon's Birds and Climate Change Report
314 Species on the Brink",http://climate.audubon.org/,环境,map,,National Audubon Society,
0500011,,Bear 71,http://bear71.nfb.ca/#/bear71,环境,"multi-media, interactive",,NBF,
0500012,,U.S. Gun Deaths in 2013,http://guns.periscopic.com/?year=2013,安全,,,Periscopic,
0500013,,"Exploring the Reach, Frequency and Impact of Terrorism Around the World",http://www.periscopic.com/our-work/exploring-the-reach-frequency-and-impact-of-terrorism-around-the-world,安全,"timeline, map, interactive, barchart, sorting",,Periscopic,
0500014,,"Out of Sight, Out of Mind.",http://drones.pitchinteractive.com/,安全,"timeline, bar",,pitchinc,
0500015,,THE ENERGY FIX: WHEN WILL THE U.S. REACH ENERGY INDEPENDENCE?,http://www.popsci.com/science/article/2013-05/energy-gap,技术,,,Popular Science,
0500016,,Poverty Tracker,http://povertytracker.robinhood.org/,经济,"interactive, bubble",,Robin Hood,
0500017,,"Visualizing 15 Years Of Acquisitions By Apple, Google, Yahoo, Amazon, And Facebook",http://techcrunch.com/2014/02/25/the-age-of-acquisitions/,经济,"interactive, bar",,Tech Crunch,
0500018,,China Global Investment Tracker,http://www.aei.org/china-global-investment-tracker/,经济,"interactive, map",,THE AMERICAN ENTERPRISE INSTITUTE AND THE HERITAGE FOUNDATION,
0500019,,"The Deaths of Afghans: Civilian Fatalities in Afghanistan, 2001–2012",http://www.thenation.com/afghanistan-database/,安全,"interactive,bar, map",,The Nation,
0500020,,A Model of Breast Cancer Causation,http://www.cabreastcancer.org/causes/#,生活,interactive,,University of California,
0500021,,Watch how immigration in America has changed since 1820,http://www.vox.com/2016/1/4/10709366/immigration-america-200-years,文化,,Alvin Chang,Vox,
0500022,,Why infectious bacteria are winning,http://qz.com/576057/why-infectious-bacteria-are-winning/,医疗,,Keith Collins,Quartz,
0500023,,A Nation Divided,http://www.zeit.de/feature/german-unification-a-nation-divided,政治,"interacitive, map","Lisa Borgenheimer, Paul Blickle, Julian Stahnke, Sascha Venohr",Zeit Online,
0500024,,令计划关系网,http://121.42.52.51/zt/2015/lingjihua/index.html,政治,network,,The Paper,
0500025,,三峡,http://121.42.52.51/zt/2015/sanxia/index.html,环境,"multi-media, interactive",,The Paper,
0500026,,一路向北：15天4000公里，全程记录难民欧洲逃亡路,http://image.thepaper.cn/html/zt/2015/refugee/index.html,政治,"multi-media, interactive",,The Paper,
0500027,,Histography,http://histography.io/,,"timeline, interactive",Matan Stauber,Matan Stauber,
0500028,,Weather Radials,http://weather-radials.com/,环境,"bubble, bar",Timm Kekeritz,Timm Kekeritz,
0500029,,Creative Routines,http://www.informationisbeautifulawards.com/showcase/483-creative-routines,文化,pie,RJ Andrews,RJ Andrews,
0500030,,Game of Thrones Decoded: Connecting the Dots from Season 3,http://time.com/44106/game-of-thrones-decoder/,艺术,network,Heather Jones,Heather Jones,
0500031,,The Graphic Continuum,http://www.informationisbeautifulawards.com/showcase/611-the-graphic-continuum,艺术,network,"Jonathan Schwabish, Severino Ribecca","Jonathan Schwabish, Severino Ribecca",
0500032,,The Refugee Project,http://www.therefugeeproject.org/,政治,"map, timeline, bubble, interactive","Hyperakt, Ekene Ijeoma","Hyperakt, Ekene Ijeoma",
0500033,,Commonwealth War Dead: First World War Visualised,http://codehesive.com/commonwealthww1/,,"bar, timeline",James Offer,James Offer,
0500034,,World Food Clock,http://worldfoodclock.com/,,illustration,Luke Twyman,Luke Twyman,
0500035,,NYC Taxis: A Day in the Life,http://nyctaxi.herokuapp.com/,商业,"map, timeline ",Chris Whong,Chris Whong,
0500036,,Beyond Bytes,https://vimeo.com/69750203,政治,"illustration, animation","Maral Pourkazemi, Florian Köhne","Maral Pourkazemi, Florian Köhne",
0500037,,Everything You Need to Know about Planet Earth,https://www.youtube.com/watch?v=JGXi_9A__Vc&list=PLFs4vir_WsTyXrrpFstD64Qj95vpy-yo1&index=1,科学,"illustration, animation","Philipp Dettmer, Stephan Rether, Thomas Veith, Steve Taylor, Michael Büker",Kurzgesagt,
0500038,,Carbon Dioxide Emissions Bury the UN Summit,http://www.carbonvisuals.com/projects/wbcsd,环境,"illustration, 3D, animation",Adam Nieman,Adam Nieman,
0500039,,Selfiecity,http://selfiecity.net/,生活,interactive,"Dr. Lev Manovich, Moritz Stefaner, Dr. Mehrdad Yazdani, Dr. Dominikus Baur, Jay Chow, Daniel Goddemeyer, Alise Tifentale, Nadav Hochman",Moritz Stefaner,
0500040,,OECD Regional Well-Being,http://www.oecdregionalwellbeing.org/,生活,interactive,"Moritz Stefaner, Dr. Dominikus Baur, Monica Brezzi and team",Moritz Stefaner,
0500041,,After Babylon,http://www.puffpuffproject.com/languages.html,文化,"map, bubble","Sofia Girelli, Eleonora Grotto, Pietro Lodi, Daniele Lupatini, Emilio Patuzzo",Puff Puff Team,
0010001,1,512 Paths to the White House,http://www.nytimes.com/interactive/2012/11/02/us/politics/paths-to-the-white-house.html?_r=0,政治,,,New York Times,
0010002,1,The Facebook Offering: How It Compares,http://www.nytimes.com/interactive/2012/05/17/business/dealbook/how-the-facebook-offering-compares.html,经济,interactive,,New York Times,
0010003,1,"How the Recession Reshaped the Economy, in 255 Charts",http://www.nytimes.com/interactive/2014/06/05/upshot/how-the-recession-reshaped-the-economy-in-255-charts.html,经济,interactive,,New York Times,
0010004,1,Who Will Win The Senate?,http://www.nytimes.com/newsgraphics/2014/senate-model/,政治,interactive,,New York Times,
0010005,1,The Most Detailed Maps You’ll See From the Midterm Elections,http://www.nytimes.com/interactive/2014/11/04/upshot/senate-maps.html,政治,map,,New York Times,
0010006,1,Four Ways to Slice Obama’s 2013 Budget Proposal,http://www.nytimes.com/interactive/2012/02/13/us/politics/2013-budget-proposal-graphic.html,政治,"bubble, interactive",,New York Times,
0010007,1,The Back and Forth Over the Shutdown and Debt Ceiling,http://www.nytimes.com/interactive/2013/09/30/us/politics/the-back-and-forth-over-the-shutdown.html,政治,timeline,,New York Times,
0010009,1,Snow Fall: The Avalanche at Tunnel Creek,http://www.nytimes.com/projects/2012/snow-fall/#/?part=tunnel-creek,灾害,"multi-media,map",,New York Times,
0010010,1,Mapping the Spread of Drought Across the U.S.,http://www.nytimes.com/interactive/2014/upshot/mapping-the-spread-of-drought-across-the-us.html,灾害,"map, timeline",,New York Times,
