ID,OrgId,Title,URL,Categories,Element tag,Author,Organizationen,Publication Date
0010001,1,512 Paths to the White House,http://www.nytimes.com/interactive/2012/11/02/us/politics/paths-to-the-white-house.html?_r=0,政治,,,New York Times,11/2/2012
0010002,1,The Facebook Offering: How It Compares,http://www.nytimes.com/interactive/2012/05/17/business/dealbook/how-the-facebook-offering-compares.html,经济,interactive,,New York Times,5/17/2012
0010003,1,"How the Recession Reshaped the Economy, in 255 Charts",http://www.nytimes.com/interactive/2014/06/05/upshot/how-the-recession-reshaped-the-economy-in-255-charts.html,经济,interactive,,New York Times,6/4/2014
0010004,1,Who Will Win The Senate?,http://www.nytimes.com/newsgraphics/2014/senate-model/,政治,interactive,,New York Times,3/1/2014
0010005,1,The Most Detailed Maps You’ll See From the Midterm Elections,http://www.nytimes.com/interactive/2014/11/04/upshot/senate-maps.html,政治,map,,New York Times,11/6/2014
0010006,1,Four Ways to Slice Obama’s 2013 Budget Proposal,http://www.nytimes.com/interactive/2012/02/13/us/politics/2013-budget-proposal-graphic.html,政治,"bubble, interactive",,New York Times,2/12/2012
0010007,1,The Back and Forth Over the Shutdown and Debt Ceiling,http://www.nytimes.com/interactive/2013/09/30/us/politics/the-back-and-forth-over-the-shutdown.html,政治,timeline,,New York Times,10/17/2013
0010009,1,Snow Fall: The Avalanche at Tunnel Creek,http://www.nytimes.com/projects/2012/snow-fall/#/?part=tunnel-creek,灾害,"multi-media,map",,New York Times,12/26/2012
0010010,1,Mapping the Spread of Drought Across the U.S.,http://www.nytimes.com/interactive/2014/upshot/mapping-the-spread-of-drought-across-the-us.html,灾害,"map, timeline",,New York Times,4/15/2015
0010012,1,Is It Better to Rent or Buy?,http://www.nytimes.com/interactive/2014/upshot/buy-rent-calculator.html,经济,"bar, interactive",,New York Times,5/21/2014
0010013,1,Where are the hardest places to live in the U.S.?,http://www.nytimes.com/2014/06/26/upshot/where-are-the-hardest-places-to-live-in-the-us.html,环境,"map, interactive, multi-media",,New York Times,6/26/2014
0010014,1,The Jobless Rate for People Like You,http://www.nytimes.com/interactive/2009/11/06/business/economy/unemployment-lines.html,经济,interactive,,New York Times,11/6/2009
0010015,1,How the Chicago Public School District Compares,http://www.nytimes.com/interactive/2012/09/14/us/how-the-chicago-public-school-district-compares.html,教育,,,New York Times,9/14/2012
0010016,1,How Birth Year Influences Political Views,http://www.nytimes.com/interactive/2014/07/08/upshot/how-the-year-you-were-born-influences-your-politics.html,政治,"interactive, visualization",,New York Times,7/7/2014
0010017,1,Which Team Do You Cheer For? An N.B.A. Fan Map,http://www.nytimes.com/interactive/2014/05/12/upshot/12-upshot-nba-basketball.html,体育,"map, interactive",,New York Times,10/19/2014
0010019,1,"Why Peyton Manning's Record Will Be Hard to Beat",http://www.nytimes.com/interactive/2014/10/19/upshot/peyton-manning-breaks-touchdown-passing-record.html?_r=0&abt=0002&abg=1,体育,interactive,,New York Times,10/19/2014
0010020,1,Racing Against History,http://www.nytimes.com/interactive/2012/08/01/sports/olympics/racing-against-history.html?_r=0,体育,interactive,,New York Times,8/1/2012
0010021,1,"One Race, Every Medalist Ever",http://www.nytimes.com/interactive/2012/08/05/sports/olympics/the-100-meter-dash-one-race-every-medalist-ever.html,体育,interactive,,New York Times,8/5/2012
0010022,1,"Lolo Jones, Cleared for takeoff",http://www.nytimes.com/interactive/2012/07/18/sports/olympics/lolo-jones-cleared-for-takeoff.html,体育,interactive,,New York Times,7/17/2012
0010023,1,Connecting Music and Gesture,http://www.nytimes.com/interactive/2012/04/06/arts/music/the-connection-between-gesture-and-music.html,文化,multi-media,,New York Times,4/6/2012
0010024,1,Inside the Quartet,http://www.nytimes.com/interactive/2014/09/22/arts/music/kronos-quartet.html?_r=2,文化,multi-media,,New York Times,9/19/2014
0010025,1,"A Cultrue of Bidding
Forging an Art Market in China",http://www.nytimes.com/projects/2013/china-art-fraud/,经济,"multi-media, interactive, map",,New York Times,10/28/2013
0010026,1,Kepler’s Tally of Planets,http://www.nytimes.com/interactive/science/space/keplers-tally-of-planets.html,科学,interactive,,New York Times,4/18/2013
0010027,1,Deepwater Horizon Oil Spill: An Interactive Look at What Happened,http://www.nytimes.com/interactive/us/spill_index.html?ref=us,环境,"multi-media, interactive, map",,New York Times,5/6/2010
0010028,1,The Dawn Wall: El Capitan’s Most Unwelcoming Route,http://www.nytimes.com/interactive/2015/01/09/sports/the-dawn-wall-el-capitan.html,体育,3D,,New York Times,1/9/2015
